Rangpur,ipa_rangpur,Kishoreganj,kishoreganj_ipa,Chittagong,chittagong_ipa,Narsingdi,ipa_narshingdi,Narail,narail_ipa
মোটা,mota,এইসমো,e͡i̯ʃɔmo,মিডেও,mide͡o̯,অর্জন,ɔrɟon,তারিখ,t̪arikʰ
হাইব্রিড,ha͡i̯brid,ঘিন্না,gʱinna,ফাকে,pʰake,অর্থনীতিটা,ɔrt̪ʰonit̪ita,সমিতি,ʃomit̪i
চিকনটা,cikonta,আতায়া,at̪aʲa,সুগন্ধি,ʃugɔnd̪ʱi,কন্ট্রিবিউট,kontribi͡u̯t,সুদি,ʃud̪i
ওটাক,otak,কওছাইন,kocʰa͡i̯n,ফাকিলি,pʰakili,পোশাক,poʃak,ছাড়িছে,cʰaɽicʰe
মেডিসিন,medisin,কুইচ্চা...,ku͡i̯cca...,বাতি,bat̪i,শিল্পডা,ʃilpoda,গোনে,gone
গায়োত,gaʲot̪,খাইতারি,kʰa͡i̯t̪ari,ফারন,pʰaron,গাউছিয়া,ga͡u̯cʰiʲa,কষ্টে,koʃte
শক্তিও,ʃɔkt̪i͡o̯,উমহ,umɔho,মুখো,mukʰo,এগুলাও,egula͡o̯,হইতো,ho͡i̯t̪o
কলাত,kɔlat̪,কাহ,kah,নরম,nɔrom,এলাকায়ই,elakaʲi,পাইল্টে,pa͡i̯lte
ভিটামিনে,bʱitamine,এওত,e͡o̯t̪,ফোয়া-সা,pʰoʷa-ʃa,গেছলামগা,gecʰolamga,মাসেরডা,maʃerda
মণ,mɔn,টিবিতে,tibit̪e,ইতারারেও,it̪arare͡o̯,ফাশের,pʰaʃer,শালারে,ʃalare
পচিশ,pociʃ,কায়ালা,kaʲala,খাইট্টি,kʰa͡i̯tti,মাইদ্দেওই,ma͡i̯d̪d̪e͡o̯͡i̯,কালিয়ে,kaliʲe
সারও,ʃaro,হিচ্চিন,hiccin,ছুডের,cʰuder,মহিলারা,mohilara,দোপ্তরিগে,d̪opt̪orige
ইটা,ita,রাগা,raga,খোঁয়া,kʰõʷa,রোজগার,roɟgar,ওইখেনে,o͡i̯kʰene
প্রথমে,prot̪ʰome,রাগাও,raga͡o̯,এব্বের,ebber,স্বাবলম্বী,ʃabolombi,পরেও,pɔre͡o̯
প্রাকিতিকভাবে,prakit̪ikbʱabe,কেজির,keɟir,টিচি,tici,চারশো-পাঁচশো,carʃo-pãcʃo,পারতিছি,part̪icʰi
ফলছিল,pʰɔlcʰilo,রাগা...,raga...,বিচিও,bici͡o̯,ছেলে-মেয়েরে,cʰele-meʲere,ঠিকমত,tʰikmɔt̪
কীটনাশক,kitonaʃok,পস্সাব,poʃʃab,মিডে-টিডেও,mide-tide͡o̯,পড়াশুনার,pɔɽaʃunar,আন্ডারে,andare
শরীলেত,ʃɔrilet̪o,কিহরে,kihore,খোদা,kʰod̪a,হাঁস,hãʃ,হাজারই,haɟari
শক্তিটা,ʃɔkt̪ita,নাহরে,nahore,রিজিকত,riɟikɔt̪o,মুরগী,murgi,স্কেল,skel
হুজুরেরা,huɟurera,এল্লেইগ্যা...,elle͡i̯gka...,খচালি,kʰɔcali,ছাগল,cʰagol,চালাক,calak
বয়ান,bɔʲan,খায়না,kʰaʲna,রস,rɔʃ,এডিও,edi͡o̯,খাটাইয়ে,kʰata͡i̯ʲe
শুকোরবার,ʃukorbar,কেউ৷,ke͡u̯,ফিটার,pʰitar,পালা,pala,দোষের,d̪oʃer
সুদারু,ʃud̪aru,বলে।বাংলাদেশের,bole।baŋlad̪eʃer,নাইরকল,na͡i̯rɔkɔl,প্রশ্ন,prosno,ভোট-টোট,bʱot-tot
সুদারুরা,ʃud̪arura,আগে...,age...,ভত্তা,bʱot̪t̪a,বলতাম,bɔlot̪am,এওনতলি,æ͡o̯not̪oli
সুদারুর,ʃud̪arur,বাগাইল্লা,baga͡i̯lla,টত্তা,tɔt̪t̪a,দ্বিধা-দ্বন্দ্ব,d̪id̪ʱa-d̪d̪ɔnd̪o,দাঁড়াতি,d̪ãɽat̪i
পোকাও,poka͡o̯,পুস্কুনির,puʃkunir,ফাকি,pʰaki,কখনোই,kɔkʰono͡i̯,চাইছেলো,ca͡i̯cʰelo
আল্লাতালা,allat̪ala,ফাগারতে,pʰagart̪e,কিজানে,kiɟane,পড়াশুনা,pɔɽaʃuna,মাইরে-ধইরে,ma͡i̯re-d̪ʱire
বলছে,bolcʰe,মাছটা,macʰta,মিডে-টিডে,mide-tide,স্টুডেন্টের,studenter,দরকারে,d̪ɔrkare
সুদ-টুদ,ʃud̪-tud̪,কায়ালায়,kaʲalaʲ,ফানসা-ফানসা,pʰanʃa-pʰanʃa,মানের,maner,দোপ্তোরির,d̪opt̪orir
নিষেদ,niʃed̪,বুড়িগঙ্গা,buɽigɔŋga,সাইয়েনা,ʃa͡i̯ʲena,স্টুডেন্টদের,studentd̪er,নিল,nil
অমঙ্গল,ɔmoŋgol,নদি...,nod̪i...,দোনো,d̪ono,স্টুডেন্টরাও,studentɔra͡o̯,দাড়ার,d̪aɽar
বাচেও,bace͡o̯,বুড়িগঙ্গার,buɽigɔŋgar,আইসসুমনে,a͡i̯sʃumone,নরসিংদীত্তে,nɔroʃiŋd̪it̪t̪e,হাঁড়,hãɽ
করোনা,kɔrona,নদির,nod̪ir,খোরবানের,kʰorbaner,নোয়াখালিত্তে,noʷakʰalit̪t̪e,সত্তোইশ,ʃɔt̪t̪o͡i̯ʃ
ডায়বিটিস,daʲbitiʃ,যতটুকু,ɟɔt̪otuku,যাইউমনে,ɟa͡i̯umɔne,চিটাগংয়ের,citagoʲer,নব্বই,nɔbbo͡i̯
যক্ষা,ɟokkʰa,শুনচি,ʃunci,উনো,uno,তরপর,t̪ɔrpɔr,মাইরব,ma͡i̯rbo
কিডনীর,kidonir,নদীত,nod̪it̪o,জোবাইরজের,ɟoba͡i̯rɟer,কুমিল্লার,kumillar,সাহায্য,ʃahaɟɟo
লিভারের,libʱarer,ঢাও,dʱa͡o̯,বউর,bɔ͡u̯r,দূর-দূরান্তেত্তে,d̪uro-d̪urant̪et̪t̪e,সাহায্যর,ʃahaɟɟor
রক্তের,rɔkt̪er,যমুনার,ɟomunar,বাছি,bacʰi,ঐতিহ্য,o͡i̯t̪iɟɟʱo,মাষ্টার,maʃtar
মাথার,mat̪ʰar,জল,ɟɔl,খরও,kʰɔro,যমুন,ɟomun,অরে৷,ɔre
ফরমালিন,pʰɔrmalin,কালো...কিজানি,kalo...kiɟani,টুরি,turi,রক্তে,rɔkt̪e,রেজওয়ান,reɟoʷan
হাত-পাও,hat̪-pa͡o̯,এইযে...,e͡i̯ɟe...,ফুফি,pʰupʰi,মিশ্যা,miʃʃa,রিপন,ripon
দেকচে,d̪ekce,মুসারফের,muʃarpʰer,দে।ভাগ,d̪e।bʱag,ফড়াশুনা,pʰɔɽaʃuna,থানার,t̪ʰanar
তারাই,t̪ara͡i̯,বালো...এইযে,balo...e͡i̯ɟe,মাইন্নুম,ma͡i̯nnum,যতোই,ɟɔt̪o͡i̯,চাঁদপুরি,cãd̪puri
শোনা,ʃona,কালো,kalo,গুরাগারা,guragara,ভবিষ্যতে,bʱobiʃʃot̪e,এদি,ed̪i
বাসোত,baʃot̪,নাকি৷,naki,খউয়া,kʰɔ͡u̯ʲa,সংস্কৃতি,ʃɔŋskrit̪i,ডক্তার,dokt̪ar
উঠচে,utʰce,ইয়া...,iʲa...,লইয়ারেও,lɔ͡i̯ʲare͡o̯,বদল,bɔd̪l,বিষ্টিতি,biʃtit̪i
দেকনুং,d̪æknuŋ,তীরে,t̪ire,দুলাভাইওরে,d̪ulabʱa͡i̯ore,কারণই,karoni,এরচেয়ে,erceʲe
দিচিলাম,d̪icilam,কাটাই,kata͡i̯,সিদ্দিক্কা,ʃid̪d̪ikka,কিন্টারগার্ডেন,kintargarden,আইড়ো,a͡i̯ɽo
থাকলো,t̪ʰaklo,কতা...,kɔt̪a...,দোজখত,d̪oɟkʰɔt̪o,বইদলা,bo͡i̯d̪ɔla,কালুগে,kaluge
চালাইতোছে,cala͡i̯t̪ocʰe,নদী,nod̪i,উনোন,unon,কমিনিটি,kominiti,কয়টারতে,kɔʲtart̪e
বাচ্চ-কাচ্চাগুলার,bacco-kaccagular,এনো...,eno...,কুত্তার,kut̪t̪ar,ক্লিনিক,klinik,কয়টা,kɔʲta
বাচ্চা-কাচ্চার,bacca-kaccar,বম্মপুত্ত,bɔmmoput̪t̪o,জনম,ɟɔnom,পলাশতলি,pɔlaʃt̪oli,অব্দি,ɔbd̪i
লেকাপড়া,lekapɔɽa,ব্রহ্মপুত্র,brɔmmoput̪ro,সুখও,ʃukʰo,ইউনিয়নডা,i͡u̯niʲonda,করছিস,korcʰiʃ
লাব,lab,সবচেয়ে,ʃɔbceʲe,হাবিয়ার,habiʲar,ইউনিয়নে,i͡u̯niʲone,ছয়টার,cʰɔʲtar
ছাওয়া-পাওয়াক,cʰa͡o̯ʷa-pa͡o̯ʷak,ব্রহমোপুত্র,brɔhomoput̪ro,ফুরিয়েরে,pʰuriʲere,গ্রামেই,grame͡i̯,ছয়তার,cʰɔʲt̪ar
মেট্টিক,mettik,ব্যাটার,bætar,ছাই,cʰa͡i̯,স্বাস্থ্য,ʃast̪ʰo,গেক্লি,gekli
বিয়্যাও,bikæ͡o̯,কহনো,kɔhono,গজব,gɔɟobo,কমপ্লেক্স,kɔmplekʃo,এগারটা,ægarta
চাওছোং,ca͡o̯cʰoŋ,দৈচি,d̪o͡i̯ci,উনের,uner,কাছেই,kacʰe͡i̯,ঘন্তায়,gʱɔnt̪aʲ
কিচুই,kicu͡i̯,ছয়দিন,cʰɔʲd̪in,দেহিবেন,d̪ehiben,এম-এস-বি,em-es-bi,খাওয়া-দাওয়ার,kʰa͡o̯ʷa-d̪a͡o̯ʷar
কম্পানি,kɔmpani,ধুইছি,d̪ʱu͡i̯cʰi,ইয়্যুনে,iʲd̪ʱune,নিয়োগ,niʲog,পিকাপ,pikap
সুশিক্ষিত,ʃuʃikkʰit̪o,ছয়দিন...কিমুন,cʰɔʲd̪in...kimun,খুত্তোর,kʰut̪t̪or,অনেকের,ɔneker,আযাতি,aɟat̪i
গ্রীষ্মকাল,griʃʃokk,পানিত,panit̪o,কঁরাকঁরি,k̃rak̃ri,কর্ম,kɔrmo,মিনিটিরাক,minitirak
বর্ষাকাল,bɔrʃakal,বাললাগে,ballage,ইন্দিও,ind̪i͡o̯,পোস্টে,poste,পিকা,pika
শরৎকাল,ʃɔrot̪kal,ফানি...আর,pʰani...ar,বেইচচি,be͡i̯coci,গেছুলাম,gecʰulam,আপে,ape
হেমন্তকাল,hemɔnt̪okal,ডেউয়ে,de͡u̯ʲe,ঝিনুইক্কের,ɟʱinu͡i̯kker,ক্লিনিকের,kliniker,মিনি,mini
শীতকাল,ʃit̪kal,যায়চে,ɟaʲce,আমিন,amin,গরীব,gorib,তিরাক,t̪irak
বসন্তকাল,bɔʃont̪okal,এইতাই,e͡i̯t̪a͡i̯,টামিন,tamin,মানুষগুলা,manuʃgula,কড্ডুন,kɔddun
পরিবর্তন,poribɔrt̪on,পাঁচমিশালি,pãcomiʃali,মাফের,mapʰer,বিতরণ,bit̪ɔrɔn,বেছিছো,becʰicʰo
ঠান্ডার,tʰandar,পাইয়া,pa͡i̯ʲa,অনও,ɔno͡o̯,উদ্যোগ,ud̪d̪og,তাহা,t̪aha
শীতকালে,ʃit̪kale,এই...নদীর,e͡i̯...nod̪ir,টফিক,topʰik,মাননীয়,manoniʲo,বেচিছো,becicʰo
মোশায়,moʃaʲ,নিষেদ,niʃed̪,এসাইনমেন্টের,eʃa͡i̯nmenter,নেত্রি,net̪ri,৫০০টাহা,500taha
শীতকালেও,ʃit̪kale͡o̯,পারতে,part̪e,দেহিয়েরে,d̪ehiʲere,মৃত্যু,mrit̪t̪u,দেব,d̪eb
মোশা,moʃa,গরানে,gɔrane,এন্টারটেইনমেন্ট,entarte͡i̯nment,হার,har,কয়টাহা,kɔʲtaha
মশাগুলা,mɔʃagula,যায়...,ɟaʲ...,খওয়ান,kʰɔ͡o̯ʲan,কমছে,komcʰe,দাড়াইছি,d̪aɽa͡i̯cʰi
কালা-কালা,kala-kala,ছিড়া,cʰiɽa,গাইবার,ga͡i̯bar,কিছহু,kicʰhu,যাবানে,ɟabane
ছোট-ছোট,cʰoto-cʰoto,ছেইরাইন,cʰe͡i̯ra͡i̯n,শখ,ʃɔkʰ,যাইতারে,ɟa͡i̯t̪are,কাইল-পর্শু,ka͡i̯l-pɔrʃu
কামড়ান,kamɽan,আব্বাডারে,abbadare,হুনাইর,huna͡i̯r,ক্লিনিকটা,klinikta,সরো,ʃɔro
জ্বলে,ɟɔle,দেহাইছ,d̪eha͡i̯cʰo,ফথম,pʰɔt̪ʰom,চ্যাক-আপ,cækɔ-ap,কুনিয়ার,kuniʲar
সাতসাতে,ʃat̪ʃat̪e,মামি,mami,বুঝেনা,buɟʱena,আইরন,a͡i̯rɔn,চাইরশো,ca͡i̯rʃo
বছরের,bɔcʰorer,লামিয়া,lamiʲa,ইচ্ছে,iccʰe,ক্যালসিয়াম,kæloʃiʲam,চায়র,caʲor
হায়াৎ,haʲat̪,রাকতানা,rakt̪ana,করছে,korcʰe,ঔষধগুলা,o͡u̯ʃɔd̪ʱgula,এট,et
দাদারা,d̪ad̪ara,নাবিলা,nabila,ডাকতে,dakt̪e,গর্ভকালীন,gɔrbʱokalin,মতুয়া,mot̪uʷa
সইরষার,ʃo͡i̯rʃar,সেকরার,ʃekrar,গন্ধে,gɔnd̪ʱe,অবস্থায়,ɔbost̪ʰaʲ,খুল,kʰul
সয়াবিন,ʃɔʷabin,সাজাইয়ালচে,ʃaɟa͡i̯ʲalce,মেখে,mekʰe,ফ্রিতে,pʰrit̪e,বড়দিয়া,bɔɽod̪iʲa
ওয়েল,oʷel,মুইন্না,mu͡i̯nna,সন্ধ্যে-সন্ধ্যে,ʃond̪ʱe-ʃond̪ʱe,খারাপদিক,kʰarapɔd̪ik,ভান্ডারখুলা,bʱandarkʰula
হচ্চে,hɔcce,নুছরার,nucʰɔrar,নামলে,namle,ভালো-খারাপ,bʱalo-kʰarap,কৃষ্ণরে,kriʃnore
একপোয়া,ækpoʷa,আণ্টি,anti,পালায়,palaʲ,মিলাই,mila͡i̯,বৃহস্পতিবার,brihospot̪ibar
সপ্তা,ʃɔpt̪a,চাচী,caci,তাকে,t̪ake,জিনিসগুলা,ɟiniʃgula,তুষার,t̪uʃar
গেইলো,ge͡i̯lo,ওহহ,ohoho,আটকে,atke,হয়যে,hoʲɟe,তুষাররে,t̪uʃarre
গেলেই,gele͡i̯,অঅঅহন,ɔ͡ɔ̯ɔhɔn,রাখার,rakʰar,ক্ষ্মতা,kʰɔt̪a,দেহাবি,d̪ehabi
শ্যার,ʃær,এএএনতে,e͡æ̯ent̪e,বাড়িয়ে,baɽiʲe,তারাতো,t̪arat̪o,কিলিয়ার,kiliʲar
ভালোবাসি,bʱalobaʃi,যাইবেনা,ɟa͡i̯bena,দিচ্ছে,d̪iccʰe,পাইতাছে,pa͡i̯t̪acʰe,হোমোপোতি,homopot̪i
তেলের,t̪eler,কইছে....,ko͡i̯cʰe....,তেষ্টা,t̪eʃta,ভাবলে,bʱable,দিহাই,d̪iha͡i̯
লিটার,litar,চাচি,caci,দাঁড়িয়ে,d̪ãɽiʲe,জনগণের,ɟɔngɔner,ছোটবেলাত্তে,cʰotobelat̪t̪e
বড়লোকেরা,boɽolokera,না৷,na,শেষটা,ʃeʃta,দেশটা,d̪eʃta,ইলারে,ilare
যতয়ে,ɟɔt̪ɔʲe,ইয়া...অহন,iʲa...ɔhɔn,জানলায়,ɟanlaʲ,স্থিতিশীল,st̪ʰit̪iʃil,দিহাতি,d̪ihat̪i
গরিবগুলা,goribgula,মেহেদীরার,mehed̪irar,বোঝে,boɟʱe,পরিবেশটারে,poribeʃtare,ডোজ,doɟ
বাড়িলো,baɽilo,মাহিনরার,mahinrar,খইরজু,kʰo͡i̯rɟu,হরতাল,hɔrot̪al,কিলিয়ার৷,kiliʲar
চাহিদা,cahid̪a,মাহিন্মার,mahinmar,ছ্যাকাভ্যাকা,cʰækadæka,পারো।আইচ্ছা,paro।a͡i̯ccʰa,জ্বর-টর,ɟɔr-tor
বাড়বে,baɽbe,ক্যাল্লেইগ্যা,kælle͡i̯gka,গাইয়্যের,ga͡i̯ʲd̪er,ঈদ-ঈদ,id̪-id̪,সাথির,ʃat̪ʰir
‍জিনিসের,ɟiniser,তো...,t̪o...,এনেই,ene͡i̯,ঈদটার,id̪tar,হোমিপতি,homipot̪i
তত,t̪ɔt̪o,সাজাইয়া,ʃaɟa͡i̯ʲa,গাই,ga͡i̯,সালামিডা,salamida,অভ্যাস,ɔbbʱaʃ
গোস্তের,gost̪er,সাজায়া,ʃaɟaʲa,নিও,ni͡o̯,আইয়ো,a͡i̯ʲo,পাততি,pat̪t̪i
বাংলাদেশি,baŋlad̪eʃi,সাজায়,ʃaɟaʲ,গানের,ganer,ব্যাস্ত,bæst̪o,ধংশন,d̪ʱɔŋʃon
কোলকাতাত,kolkat̪at̪,অহহ...,ɔhɔho...,নিজেকে,niɟeke,থাহো,t̪ʰaho,দিবানে,d̪ibane
ছয়শো,cʰɔʲʃo,আবার..আবার,abar..ibar,গুছিয়ে,gucʰiʲe,এবারো,ebaro,হেমোপতি,hemopot̪i
বিদ্যাশে,bid̪d̪aʃe,আইয়াম,a͡i̯ʲam,নিয়েছি,niʲecʰi,হাজব্যান্ড,haɟobænd,হোমোপতির,homopot̪ir
বাংলাদেশোত,baŋlad̪eʃe͡a̯t̪,ওয়ালাইকুম,oʷala͡i̯kum,মাইপতু,ma͡i̯pt̪u,দারাজো,d̪araɟo,হোমোপতিক,homopot̪ik
কিনবো,kinbo,আসসালাম,assalam,জুবাইরজের,ɟuba͡i̯rɟer,অর্ডার,ɔrdar,রোগ,rog
বিদ্যাশোত,bid̪d̪aʃot̪,নামকরা,namkra,মাইপতাম,ma͡i̯pɔt̪am,কষ্টে,koʃte,সারি,ʃari
ফারামও,pʰaramo,পাগলা,pagla,ফাকিনির,pʰakinir,ঈদডার,id̪dar,খায়ার,kʰaʲar
দ্যাশ,d̪æʃ,আ...,a...,ব,bo,বর্ষারে,bɔrʃare,হোমোপতিও,homopot̪i͡o̯
খাদ্যেরও,kʰad̪d̪ero,বস্তা,bost̪a,হামিদের,hamid̪er,আম্মারে,amma͡a̯͡e̯,আমিয়া,amiʲa
হাড্ডি,haddi,বস্তার,bost̪ar,নাব্যার,nabær,ছেলেরে,cʰelere,সাথীর,ʃat̪ʰir
মাড্ডি,maddi,ট্যায়া,tæʲa,জুবাইরগের,ɟuba͡i̯rger,রিফাতরে,ripʰat̪ɔre,সাথী,ʃat̪ʰi
গেরাম,geram,বরছে,borcʰe,ফাঁচজনর,pʰãcɟɔnor,সবাইরটা,ʃɔba͡i̯rta,মিহির,mihir
সেল,sel,মজ্জিদ,mɔɟɟid̪,ফিতা,pʰit̪a,ঈদডা,id̪oda,ডলারের,dɔlarer
হোটোলোত,hotolot̪o,শহিদী,ʃohid̪i,ঝাঁডাফুরি,ɟʱãdapʰuri,ওডে,ode,ডলারে,dɔlare
হইলেয়,ho͡i̯leʲ,হুনচছ,huncɔcʰo,বাইরগাইউম,ba͡i̯rga͡i̯um,টিয়ার,tiʲar,নিলয়,nilɔʲ
এইটাতে,e͡i̯tat̪e,মইদ্দেতো,mo͡i̯d̪d̪et̪o,খওক,kʰɔ͡o̯k,পরিবারে,poribare,নিবি,nibi
কতোটা,kɔt̪ota,বিখ্যাত,bikkʰat̪o,খাবাওক,kʰaba͡o̯k,সহালেরতে,ʃɔhalert̪e,বিষ্টি,biʃti
তারও,t̪aro,শুলাকিয়া,ʃulakiʲa,ফুতর,pʰut̪ɔr,পরেরদিন,pɔrerd̪in,এহন্তলি,ehont̪oli
এইগলার,e͡i̯gɔlar,ঈদগাঁ,id̪gã,গলাই,gɔla͡i̯,সাত-আট,ʃat̪-at,গাল,gal
বিরুদ্ধে,birud̪d̪ʱe,বিজিবি,biɟibi,উবা,uba,আইতে-আইতে,a͡i̯t̪e-a͡i̯t̪e,গল্প,gɔlpo
পদক্ষেপে,pɔd̪okkʰepe,ফুলিশ,pʰuliʃ,এতিক্কিনর,et̪ikkinɔr,পাইলে,pa͡i̯le,শিহে,ʃihe
মানুষোকো,manuʃoko,টহল,tɔhol,ভুতুরে,bʱut̪ure,অদ্ভোত,ɔd̪bʱot̪o,দা-দা-দা,d̪a-d̪a-d̪a
একজোনকার,ækɟonkar,শহরটাই,ʃɔhorta͡i̯,বিতিবু,bit̪ibu,টেহাই,teha͡i̯,খইয়ে,kʰo͡i̯ʲe
দশজোনকার,d̪ɔʃɟonkar,অলিগলি,oligoli,বেয়াদইপ্পে,beʲad̪ippe,আনন্দ,anond̪o,ভ্যাজাল-কুজাল,bʱæɟal-kuɟal
মনুস্যত্ব,monuʃʃot̪t̪o,উন্নত,unnɔt̪o,সারি,ʃari,ঈদ্গুলা,id̪gula,পুটি,puti
আইন-টাইন,a͡i̯n-ta͡i̯n,সব...,ʃɔb...,ইউসুইপ্পার,i͡u̯su͡i̯ppar,এগুলাই,egula͡i̯,খাইতি,kʰa͡i̯t̪i
মোটকতা,motokɔt̪a,ঠিকঠাক,tʰiktʰak,বইনরে,bo͡i̯nore,মাডির,madir,জেঠি,ɟetʰi
আইন-টাইনগুলা,a͡i̯n-ta͡i̯ngula,গেছস,gecʰoʃ,খতক্কিন,kʰɔt̪okkin,ঠুলি,tʰuli,পুলাপান,pulapan
বিদেশের,bid̪eʃer,ফানিত,pʰanit̪o,বেয়াইরা,beʲa͡i̯ra,চুড়ি,cuɽi,ছেলে-পেলে,cʰele-pele
চোর-বাটপার,cor-batpar,ডুবায়ালা...,dubaʲala...,যওস,ɟɔ͡o̯s,কিন্তো,kint̪o,তারপরো,t̪arpɔro
চিটিংবাজ,citiŋbaɟ,ডুবায়ালা,dubaʲala,ঝিরত,ɟʱirɔt̪o,চুড়ির,cuɽir,চালনা,calona
সেবক,ʃebok,বর্ষাকালের,bɔrʃakaler,নিয়েশত,niʲeʃt̪o,চুড়িডি,cuɽidi,গেছিলা,gecʰila
বাটপার,batpar,অষ্টগ্রাম...,ɔʃtogram...,উনে,une,আলনা,alna,দেড়েক,d̪eɽek
‍ঘুষ,gʱuʃ,আরেকটাত,arektat̪,কাডি,kadi,রানু,ranu,চালনায়,calonaʲ
অপিসেত,ɔpiʃet̪,সেনানিবাস,ʃenanibaʃ,তিন-সাইর,t̪in-ʃa͡i̯r,খালাইয়,kʰala͡i̯ʲ,আজানের,aɟaner
সমস্ত,ʃɔmost̪o,ফুনছস,pʰuncʰɔʃ,খোরবাইন্না,kʰorba͡i̯nna,মেলার,mælar,থাইমে,t̪ʰa͡i̯me
চিন্তা-ভাবনায়,cint̪a-bʱabnaʲ,ক্যান্টেনমেন্ট,kæntenment,অদে,ɔd̪e,আনন্দডা,anond̪oda,মুরাল,muralo
কিনবে,kinbe,সেনাবাহিনী,ʃenabahini,ফেরত,pʰert̪o,আওন-যাওন,a͡o̯n-ɟa͡o̯n,টের,ter
বড়লোকোর,boɽoloke͡a̯r,রাষ্ট্রপতি,raʃtropot̪i,ফেরর,pʰerɔr,আগেরদিনের,agerd̪iner,ফাইয়ে,pʰa͡i̯ʲe
চিট্যার,cittar,ফায়ালচে,pʰaʲalce,শান্তিয়ে,ʃant̪iʲe,মেহেদী,mehed̪i,গুছাতি,gucʰat̪i
দুর্নীতি,d̪urnit̪i,অষ্টগ্রামেএএএর,ɔʃtograme͡e̯e͡e̯r,ঊর্মির,urmir,ইকটুখানি,iktukʰani,বাজানির,baɟanir
চোগলখোর,coglkʰor,অষ্টগ্রামের,ɔʃtogramer,লইবি,lo͡i̯bi,জিগাইতাছি,ɟiga͡i̯t̪acʰi,পোশাক-আশাক,poʃak-aʃak
বাটপারি,batpari,দেহেই,d̪ehe͡i̯,দুউয়োরে,d̪u͡u̯ʲore,বিশ্বকাপটার,biʃʃokaptar,ফাজ্জন,pʰaɟɟon
বিমল,bimɔl,ভিডিও-ছিডিও,bʱidi͡o̯-cʰidi͡o̯,কুতুবরে,kut̪ubɔre,ছুডুহানি,cʰuduhani,ছয়জন,cʰɔʲoɟɔn
শুনো,ʃuno,ধর,d̪ʱɔr,কুতুবে,kut̪ube,ধরযে,d̪ʱorɟe,ঢুকোয়,dʱukoʲ
শর্মা,ʃɔrma,এম্মেদা,emmed̪a,এদিন্নের,ed̪inner,যহ্ন,ɟɔnho,অয়ে,ɔʲe
ওহহ,ohoho,ঈসাখার,iʃakʰar,মহব্বতে,mɔhobbot̪e,আর্জেন্টিনারে,arɟentinare,সুমনরা,ʃunra
চলিবার,colibar,দূর্গ,d̪urgo,সাইয়্যেরে,ʃa͡i̯kd̪ere,মেসির,mesir,এন্তে,ænt̪e
বৈশাখে,bo͡i̯ʃakʰe,ঈসা,iʃa,বেয়াইআলা,beʲa͡i̯ala,মেসিরে,mesire,মিজ্জাফুরিত্তে,miɟɟapʰurit̪t̪e
পাগলা।এগুলা,pagla।t̪ʰgula,খাঁর,kʰãr,ঝরায়,ɟʱɔraʲ,মেসিরতে,mesirɔt̪e,তন্ময়রা,t̪ɔnmɔʲa͡a̯
দরকার।এইল্লা,d̪ɔrkar।e͡i̯lla,ঈশা,iʃa,ডাগও,dago,ব্রাজিলের,braɟiler,বয়াস,bɔʲas
কতদিন,kɔt̪od̪in,খাঁ,kʰã,বুইল্ল্যার,bu͡i̯llær,নেইমাররে,ne͡i̯marre,বয়াসের,bɔʲaser
যতসম্ভব,ɟɔt̪oʃɔmbʱɔb,ভূইয়া,bʱu͡i̯ʲa,বইডাত,bo͡i̯dat̪,নেইমারের,ne͡i̯marer,অরুপ,ɔrup
বৈশাকে,bo͡i̯ʃake,পুত্র,put̪ro,ইসহাইক্ক্যার,iʃha͡i̯kkar,মুবাইলো,muba͡i̯lo,জিত,ɟit̪
অনুষ্ঠান,onuʃtʰan,মুসা,muʃa,এত্তর,æt̪t̪or,হাসির,haʃir,অন্তর,ɔnt̪ɔr
তনুষ্ঠান,t̪onuʃtʰan,মাজার,maɟar,ফইলা,pʰila,দক,d̪ɔk,বাজানুর,baɟanur
করাই,kɔra͡i̯,গরিবুল্লা,goribulla,দওস,d̪ɔ͡o̯ʃ,দল,d̪ɔl,কাতলা,kat̪la
লাগবে।এখন,lagbe।t̪kʰon,এগার,ægar,যাতি,ɟat̪i,সালমা,salma,ভুড়ি,bʱuɽi
করেন।করলে,kɔren।krle,পির,pir,কেলাবত,kelabɔt̪,স্বামি,ʃami,কাতলার,kat̪lar
কাস্টমার,kastomar,আউলিয়া,a͡u̯liʲa,যাইলেও,ɟa͡i̯le͡o̯,দুবাই,d̪uba͡i̯,সাঝে,ʃaɟʱe
শ্যামল,ʃæmɔl,ইশাকাডা,iʃakada,খইতি,kʰit̪i,উনায়ও,unaʲo,কাড়া,kaɽa
কাঁকার,kãkar,স্থাপিত,st̪ʰapit̪o,ডরত,dɔrot̪o,উনিও,uni͡o̯,জাহাজ,ɟahaɟ
দকানত,d̪ɔkanɔt̪o,এগারটি,ægarti,এইয়্যিনের,e͡i̯kiner,আর্জেন্টিনা,arɟentina,আরেকখান,arekkʰan
ব্যাবসায়ী,bæbɔʃaʲi,মোহনা,mohona,বানাওক,bana͡o̯k,দুইজনরে,d̪u͡i̯ɟɔnre,আসফে,aʃpʰe
আয়নাল,aʲnal,ইশাকা,iʃaka,বুঝাইবু,buɟʱa͡i̯bu,রেস্টুরেন্টে,resturente,আনবে,anbe
